id,manager_id/id,master_department_id/id,parent_id/id
Jinasena_MasterData_HR.hr_department_administration,,Jinasena_MasterData_HR.hr_department_ceo_office,Jinasena_MasterData_HR.hr_department_ceo_office
Jinasena_MasterData_HR.hr_department_ceo_office,,Jinasena_MasterData_HR.hr_department_ceo_office,
Jinasena_MasterData_HR.hr_department_cnc_room_jem,,Jinasena_MasterData_HR.hr_department_cnc_room_jem,
Jinasena_MasterData_HR.hr_department_finance,,Jinasena_MasterData_HR.hr_department_finance,
Jinasena_MasterData_HR.hr_department_hr,,Jinasena_MasterData_HR.hr_department_ceo_office,Jinasena_MasterData_HR.hr_department_ceo_office
Jinasena_MasterData_HR.hr_department_human_resource,Jinasena_MasterData_HR.hr_employee_sisira_jayakody,Jinasena_MasterData_HR.hr_department_human_resource,
Jinasena_MasterData_HR.hr_department_it,,Jinasena_MasterData_HR.hr_department_it,
Jinasena_MasterData_HR.hr_department_it_12,,Jinasena_MasterData_HR.hr_department_it_12,
Jinasena_MasterData_HR.hr_department_jam,,Jinasena_MasterData_HR.hr_department_jam,
Jinasena_MasterData_HR.hr_department_jam_executive,,Jinasena_MasterData_HR.hr_department_jam_executive,
Jinasena_MasterData_HR.hr_department_jem,,Jinasena_MasterData_HR.hr_department_jem,
Jinasena_MasterData_HR.hr_department_sales,,Jinasena_MasterData_HR.hr_department_ceo_office,Jinasena_MasterData_HR.hr_department_ceo_office
Jinasena_MasterData_HR.hr_department_stores,,Jinasena_MasterData_HR.hr_department_stores,
Jinasena_MasterData_HR.hr_department_test_engineering,,Jinasena_MasterData_HR.hr_department_test_engineering,
Jinasena_MasterData_HR.hr_department_test_finance_accounting,,Jinasena_MasterData_HR.hr_department_test_finance_accounting,
Jinasena_MasterData_HR.hr_department_test_human_resources,,Jinasena_MasterData_HR.hr_department_test_human_resources,
Jinasena_MasterData_HR.hr_department_test_operations,,Jinasena_MasterData_HR.hr_department_test_operations,
Jinasena_MasterData_HR.hr_department_maintenance,,Jinasena_MasterData_HR.hr_department_maintenance,
